,Date,Open,High,Low,Close,Volume
71,2023-12-19,50.69,53.0,50.3,52.1,"3,658,690"
72,2023-12-18,48.82,51.63,48.07,50.53,"6,160,896"
73,2023-12-15,48.48,49.18,47.62,48.81,"1,216,867"
74,2023-12-14,48.51,48.91,47.9,48.04,"1,603,108"
75,2023-12-13,48.19,48.4,47.62,48.16,"477,370"
76,2023-12-12,48.12,49.59,47.8,47.96,"3,393,734"
77,2023-12-11,47.01,48.69,47.01,48.11,"1,527,888"
78,2023-12-08,47.9,48.6,46.4,46.82,"2,156,078"
79,2023-12-07,47.85,48.63,47.1,47.9,"1,817,655"
80,2023-12-06,48.35,48.44,47.06,47.84,"2,049,455"
81,2023-12-05,48.32,48.99,47.31,48.17,"2,081,850"
82,2023-12-04,45.31,48.53,45.02,48.29,"2,554,995"
83,2023-12-01,44.59,45.24,44.07,44.3,"413,775"
84,2023-11-30,44.51,44.53,43.65,44.02,"776,517"
85,2023-11-29,45.39,45.39,44.16,44.51,"329,271"
86,2023-11-28,43.87,45.1,43.57,44.67,"649,799"
87,2023-11-24,44.06,44.7,43.95,44.06,"303,791"
88,2023-11-23,43.57,44.61,43.57,44.34,"285,696"
89,2023-11-22,44.99,45.1,43.98,44.31,"736,027"
90,2023-11-21,46.45,46.45,44.87,45.16,"297,463"
91,2023-11-20,45.66,46.52,45.39,45.54,"700,328"
92,2023-11-17,46.24,46.3,45.6,45.92,"486,794"
93,2023-11-16,47.01,47.25,46.7,46.79,"420,674"
94,2023-11-15,47.51,47.74,46.69,47.34,"1,905,187"
95,2023-11-13,44.25,47.4,43.78,46.85,"1,749,308"
96,2023-11-10,44.21,44.21,43.68,43.91,"346,222"
97,2023-11-09,45.11,45.11,44.0,44.22,"839,497"
98,2023-11-08,45.49,45.49,44.45,44.86,"531,997"
99,2023-11-07,44.1,45.1,43.57,44.87,"550,329"
100,2023-11-06,44.21,44.8,43.8,44.09,"820,069"
101,2023-11-03,44.35,44.6,43.8,44.03,"823,434"
102,2023-11-02,43.85,44.7,43.7,44.0,"1,256,577"
103,2023-11-01,43.54,43.8,42.8,43.16,"1,191,920"
104,2023-10-31,43.94,44.89,43.0,43.21,"1,257,573"
105,2023-10-30,44.69,44.69,42.89,43.5,"1,468,293"
106,2023-10-27,44.18,45.6,43.24,44.49,"1,865,581"
107,2023-10-26,43.09,44.25,40.84,43.74,"2,048,768"
108,2023-10-25,43.4,44.8,41.56,43.29,"4,561,207"
109,2023-10-23,47.69,47.8,42.31,42.55,"4,718,127"
110,2023-10-20,47.0,49.25,46.4,46.85,"3,434,357"
111,2023-10-19,46.91,47.39,46.34,47.0,"1,468,649"
112,2023-10-18,48.82,48.9,46.9,47.1,"1,966,506"
113,2023-10-17,48.4,49.75,48.27,48.8,"1,664,026"
114,2023-10-16,48.28,48.6,47.84,48.02,"1,251,541"
115,2023-10-13,48.31,49.05,48.05,48.28,"2,340,442"
116,2023-10-12,48.67,49.09,48.17,48.66,"1,398,219"
117,2023-10-11,49.7,49.7,48.23,48.6,"1,437,415"
118,2023-10-10,46.91,49.68,46.91,49.34,"3,250,827"
119,2023-10-09,48.33,48.6,46.41,46.8,"2,342,283"
120,2023-10-06,50.4,50.4,48.67,49.93,"4,031,787"
121,2023-10-05,51.64,51.75,49.51,50.11,"3,242,145"
122,2023-10-04,51.95,54.43,49.55,50.84,"5,072,113"
123,2023-10-03,51.24,52.84,50.4,52.5,"1,901,429"
124,2023-09-29,51.0,52.06,50.67,51.26,"3,607,260"
125,2023-09-28,50.6,54.0,49.74,50.34,"4,767,411"
126,2023-09-27,50.39,50.85,49.25,50.59,"1,893,772"
127,2023-09-26,50.43,51.73,49.57,49.99,"2,050,499"
128,2023-09-25,51.15,51.35,49.22,49.99,"4,536,211"
129,2023-09-22,47.88,51.7,47.3,50.86,"8,263,868"
130,2023-09-21,49.11,50.8,46.21,46.92,"5,136,619"
131,2023-09-20,50.78,53.2,48.07,48.94,"4,479,532"
132,2023-09-18,46.99,55.99,45.21,51.7,"13,284,450"
133,2023-09-15,45.0,48.0,44.03,47.03,"5,939,864"
134,2023-09-14,40.43,45.3,39.97,44.73,"9,318,982"
135,2023-09-13,37.51,40.65,36.65,40.42,"4,572,161"
136,2023-09-12,41.4,42.34,37.4,37.64,"4,226,860"
137,2023-09-11,39.51,42.15,39.51,40.69,"5,179,760"
138,2023-09-08,39.25,39.95,39.05,39.32,"761,812"
139,2023-09-07,38.01,39.41,38.01,38.98,"2,065,122"
140,2023-09-06,38.87,38.87,37.67,38.42,"774,097"
141,2023-09-05,37.08,39.6,37.08,38.44,"5,023,121"
142,2023-09-04,35.01,37.0,35.01,36.79,"1,707,870"
143,2023-09-01,34.91,35.12,34.09,34.92,"1,210,912"
144,2023-08-31,35.51,35.83,34.75,34.86,"772,998"
145,2023-08-30,35.71,35.8,35.3,35.39,"1,079,367"
146,2023-08-29,35.76,36.08,35.0,35.11,"1,387,160"
147,2023-08-28,35.81,36.46,35.52,35.69,"1,447,925"
148,2023-08-25,35.73,36.7,35.12,35.78,"1,178,415"
149,2023-08-24,35.76,37.04,35.6,35.82,"1,741,552"
150,2023-08-23,34.35,36.01,34.31,35.74,"3,262,886"
151,2023-08-22,34.85,35.05,34.3,34.41,"1,051,136"
152,2023-08-21,35.49,35.49,34.26,34.56,"670,896"
153,2023-08-18,34.45,36.35,34.45,35.07,"3,690,054"
154,2023-08-17,35.35,35.7,34.2,34.58,"2,162,777"
155,2023-08-16,33.3,35.45,32.72,35.16,"3,302,345"
156,2023-08-14,33.06,33.8,32.25,33.34,"3,867,114"
157,2023-08-11,30.91,34.8,30.91,32.96,"7,394,472"
158,2023-08-10,31.18,31.69,30.76,30.9,"586,719"
159,2023-08-09,30.9,31.54,30.86,31.17,"1,817,493"
160,2023-08-08,29.88,31.04,29.87,30.86,"1,080,600"
161,2023-08-07,30.43,30.43,29.8,29.9,"482,212"
162,2023-08-04,30.0,30.39,30.0,30.06,"513,545"
163,2023-08-03,30.15,30.44,29.56,30.0,"494,108"
164,2023-08-02,30.26,31.48,29.81,30.13,"859,244"
165,2023-08-01,30.16,30.9,30.16,30.5,"928,318"
166,2023-07-31,30.21,30.47,30.15,30.25,"377,792"
167,2023-07-28,30.36,30.71,30.12,30.18,"604,004"
168,2023-07-27,30.6,30.9,30.33,30.47,"546,085"
169,2023-07-26,30.28,30.73,30.05,30.39,"428,936"
170,2023-07-25,30.91,31.22,30.15,30.27,"890,785"
171,2023-07-24,31.25,31.85,30.81,30.9,"1,200,816"
172,2023-07-21,30.85,31.36,30.66,31.15,"971,637"
173,2023-07-20,31.18,31.79,30.72,30.88,"1,349,254"
174,2023-07-19,31.24,31.24,30.55,31.03,"776,475"
175,2023-07-18,31.85,31.99,30.8,30.95,"1,725,569"
176,2023-07-17,30.42,32.59,30.42,31.59,"2,538,165"
177,2023-07-14,30.11,30.49,29.75,30.37,"611,340"
178,2023-07-13,31.59,31.6,29.8,29.98,"1,474,186"
179,2023-07-12,30.35,31.47,30.35,31.18,"913,375"
180,2023-07-11,30.8,31.05,30.25,30.32,"683,021"
181,2023-07-10,30.91,31.84,30.5,30.71,"1,828,074"
182,2023-07-07,31.09,31.58,30.2,30.91,"694,834"
183,2023-07-06,30.75,31.91,30.62,31.12,"1,635,145"
184,2023-07-05,30.5,31.37,30.35,30.78,"2,251,588"
185,2023-07-04,29.95,30.98,29.05,30.62,"1,715,670"
186,2023-07-03,29.42,29.99,29.17,29.88,"1,428,741"
187,2023-06-30,28.45,29.2,28.31,29.04,"1,517,752"
188,2023-06-28,28.6,28.9,28.25,28.48,"491,884"
189,2023-06-27,27.56,28.84,27.56,28.64,"880,037"
190,2023-06-26,27.95,28.33,27.52,27.65,"899,991"
191,2023-06-23,28.32,28.32,27.65,27.94,"524,429"
192,2023-06-22,28.83,29.08,28.1,28.32,"839,142"
193,2023-06-21,29.5,29.74,28.58,28.81,"1,093,048"
194,2023-06-20,28.34,29.39,28.0,28.93,"2,757,276"
195,2023-06-19,26.7,27.98,26.7,27.52,"3,443,343"
196,2023-06-16,26.68,26.93,26.61,26.75,"426,528"
197,2023-06-15,27.0,27.15,26.53,26.67,"439,916"
198,2023-06-14,26.92,27.2,26.91,27.05,"459,041"
199,2023-06-13,27.46,27.46,26.9,27.06,"242,113"
200,2023-06-12,27.28,27.28,26.8,26.96,"221,959"
201,2023-06-09,27.4,27.48,26.96,27.04,"601,706"
202,2023-06-08,27.52,28.04,27.18,27.31,"805,007"
203,2023-06-07,27.41,27.85,27.41,27.55,"327,077"
204,2023-06-06,27.4,27.64,27.25,27.4,"417,895"
205,2023-06-05,27.67,27.88,27.5,27.54,"507,734"
206,2023-06-02,27.7,28.25,27.52,27.66,"981,900"
207,2023-06-01,27.0,28.09,26.96,27.79,"682,309"
208,2023-05-31,26.52,27.28,26.42,27.0,"400,244"
209,2023-05-30,26.89,26.89,26.47,26.74,"408,879"
210,2023-05-29,26.81,26.95,26.6,26.75,"516,385"
211,2023-05-26,26.26,26.85,26.26,26.66,"271,494"
212,2023-05-25,26.19,26.53,25.92,26.44,"192,343"
213,2023-05-24,26.29,26.48,26.07,26.19,"739,936"
214,2023-05-23,26.4,26.67,26.4,26.52,"507,750"
215,2023-05-22,26.68,26.86,26.3,26.4,"247,883"
216,2023-05-19,26.99,27.0,26.23,26.63,"436,454"
217,2023-05-18,27.3,27.35,26.77,26.97,"495,864"
218,2023-05-17,27.21,27.66,27.0,27.15,"656,231"
219,2023-05-16,27.35,27.94,27.23,27.31,"505,989"
220,2023-05-15,27.3,27.49,26.91,27.19,"275,680"
221,2023-05-12,27.31,27.6,27.16,27.28,"410,008"
222,2023-05-11,27.39,27.87,27.13,27.38,"805,105"
223,2023-05-10,27.52,27.55,26.53,26.89,"972,556"
224,2023-05-09,28.43,28.9,27.24,27.41,"976,369"
225,2023-05-08,28.5,28.7,28.07,28.46,"1,118,647"
226,2023-05-05,28.62,29.29,28.3,28.38,"533,465"
227,2023-05-04,28.5,29.17,28.4,28.83,"1,279,185"
228,2023-05-03,29.0,29.2,28.16,28.65,"1,303,510"
229,2023-05-02,31.0,31.21,30.01,30.2,"2,264,253"
230,2023-04-28,29.66,30.4,29.62,30.35,"3,357,977"
231,2023-04-27,27.85,29.18,27.78,29.06,"1,480,125"
232,2023-04-26,27.36,27.85,27.11,27.65,"1,072,380"
233,2023-04-25,27.31,28.06,27.11,27.48,"1,452,966"
234,2023-04-24,26.3,27.26,26.12,27.1,"1,042,413"
235,2023-04-21,26.88,27.05,26.1,26.25,"691,544"
236,2023-04-20,27.06,27.33,26.81,26.94,"671,977"
237,2023-04-19,26.88,27.81,26.77,27.05,"1,975,042"
238,2023-04-18,27.01,27.35,26.58,26.78,"1,973,363"
239,2023-04-17,25.7,27.1,25.5,26.9,"2,391,098"
240,2023-04-13,24.94,25.83,24.52,25.53,"1,206,871"
241,2023-04-12,24.96,24.98,24.6,24.73,"445,964"
242,2023-04-11,24.6,25.62,24.6,24.95,"1,192,537"
243,2023-04-10,24.85,25.0,24.2,24.52,"501,272"
244,2023-04-06,24.74,25.28,24.55,24.83,"439,130"
245,2023-04-05,24.95,25.05,24.45,24.73,"335,752"
246,2023-04-03,24.15,25.06,23.94,24.77,"925,078"
247,2023-03-31,24.52,24.68,23.95,24.16,"812,491"
248,2023-03-29,22.74,24.44,22.45,24.21,"789,593"
249,2023-03-28,23.0,23.17,22.25,22.63,"663,512"
250,2023-03-27,23.39,23.4,22.68,22.85,"353,186"
251,2023-03-24,23.77,24.1,23.25,23.39,"610,575"
252,2023-03-23,23.92,24.33,23.8,24.0,"486,693"
253,2023-03-22,24.29,24.52,23.95,24.07,"358,462"
254,2023-03-21,24.16,24.2,23.67,23.94,"545,398"
255,2023-03-20,24.06,24.25,23.6,23.82,"622,468"
256,2023-03-17,24.7,24.76,24.0,24.37,"475,263"
257,2023-03-16,24.24,24.59,23.45,24.41,"543,715"
258,2023-03-15,24.31,24.9,24.1,24.24,"401,252"
259,2023-03-14,25.06,25.39,24.08,24.24,"920,637"
260,2023-03-13,26.05,26.49,25.1,25.23,"288,309"
261,2023-03-10,26.55,26.55,26.06,26.29,"254,100"
262,2023-03-09,26.81,27.25,26.59,26.66,"343,585"
263,2023-03-08,26.61,27.14,26.57,26.97,"355,249"
264,2023-03-06,27.66,27.8,26.75,26.93,"1,636,078"
265,2023-03-03,26.39,27.81,26.35,27.31,"1,743,222"
266,2023-03-02,26.44,27.06,26.02,26.15,"1,028,776"
267,2023-03-01,25.66,26.55,25.66,26.36,"734,104"
268,2023-02-28,25.2,26.0,25.15,25.9,"445,340"
269,2023-02-27,25.15,25.55,24.8,25.15,"400,469"
270,2023-02-24,26.1,26.5,25.15,25.35,"268,326"
271,2023-02-23,25.25,26.1,25.0,25.8,"682,742"
272,2023-02-22,25.6,26.55,25.15,25.4,"597,659"
273,2023-02-21,26.65,27.0,25.85,26.0,"223,088"
274,2023-02-20,27.05,27.15,26.45,26.55,"407,311"
275,2023-02-17,26.7,27.3,26.6,27.05,"508,698"
276,2023-02-16,27.05,27.3,26.85,27.05,"362,272"
277,2023-02-15,26.8,27.4,26.6,27.05,"573,016"
278,2023-02-14,27.45,27.45,26.4,26.85,"498,297"
279,2023-02-13,28.0,28.0,26.95,27.2,"326,923"
280,2023-02-10,27.0,28.8,26.95,27.8,"737,819"
281,2023-02-09,27.45,27.6,27.05,27.25,"382,889"
282,2023-02-08,27.05,27.8,27.05,27.55,"578,223"
283,2023-02-07,27.9,27.9,26.5,27.1,"754,667"
284,2023-02-06,27.65,28.4,27.45,27.6,"620,204"
285,2023-02-03,28.3,28.8,26.7,27.85,"1,037,017"
286,2023-02-02,28.2,29.1,27.75,28.1,"639,759"
287,2023-02-01,30.25,30.6,28.5,28.9,"595,409"
288,2023-01-31,28.75,30.05,28.6,29.9,"714,336"
289,2023-01-30,28.1,29.6,27.35,28.65,"1,061,897"
290,2023-01-27,29.95,30.1,28.3,28.55,"926,821"
291,2023-01-25,30.1,30.45,29.35,29.75,"934,195"
292,2023-01-24,31.15,31.3,30.1,30.35,"329,574"
293,2023-01-23,32.0,32.1,31.0,31.1,"665,860"
294,2023-01-20,32.65,32.7,31.8,31.9,"858,293"
295,2023-01-19,32.35,32.8,32.2,32.45,"1,171,152"
296,2023-01-18,32.8,32.95,31.9,32.35,"1,563,377"
297,2023-01-17,33.05,33.35,31.7,32.5,"2,248,375"
298,2023-01-16,30.85,32.2,30.85,32.2,"1,491,358"
299,2023-01-13,30.3,31.25,30.25,30.7,"912,021"
300,2023-01-12,31.0,31.0,30.0,30.25,"721,159"
301,2023-01-11,30.35,31.4,29.7,30.75,"1,339,985"
302,2023-01-10,31.0,31.2,29.95,30.2,"1,048,372"
303,2023-01-09,31.75,32.05,31.05,31.25,"908,066"
304,2023-01-06,32.1,32.35,31.2,31.45,"957,067"
305,2023-01-05,32.05,32.4,31.25,31.95,"1,101,312"
306,2023-01-04,32.8,32.95,31.6,32.0,"1,630,194"
307,2023-01-03,32.35,33.65,32.35,32.7,"1,127,753"
308,2023-01-02,32.25,32.7,31.8,32.3,"1,859,893"
309,2022-12-30,32.05,32.85,32.0,32.15,"1,625,648"
310,2022-12-29,31.0,32.2,30.9,31.45,"1,315,950"
311,2022-12-28,32.7,33.95,31.0,31.4,"5,499,847"
312,2022-12-27,32.0,32.35,31.55,32.35,"3,432,030"
313,2022-12-26,29.1,30.85,28.1,30.85,"4,517,448"
314,2022-12-23,31.45,32.6,29.4,29.4,"5,208,538"
315,2022-12-22,35.0,35.85,32.15,32.65,"6,211,952"
316,2022-12-21,35.1,38.15,33.1,33.9,"8,883,397"
317,2022-12-20,36.05,37.2,34.1,34.95,"5,621,854"
318,2022-12-19,37.35,38.0,34.8,36.2,"5,942,129"
319,2022-12-16,38.85,40.65,37.0,37.35,"6,333,995"
320,2022-12-15,39.75,41.5,38.8,39.4,"8,351,087"
321,2022-12-14,40.25,41.8,37.2,39.75,"16,222,680"
322,2022-12-13,33.95,40.2,33.15,39.6,"20,181,789"
323,2022-12-12,33.0,33.95,31.25,33.7,"8,532,151"
324,2022-12-09,33.0,34.5,30.4,33.05,"25,105,260"
325,2022-12-08,28.5,33.15,28.5,31.6,"14,461,320"
326,2022-12-07,26.3,28.75,26.3,28.15,"14,428,540"
327,2022-12-06,25.75,26.9,25.6,26.4,"3,175,349"
328,2022-12-05,25.75,25.9,25.35,25.8,"1,300,271"
329,2022-12-02,25.4,26.1,25.15,25.5,"1,675,021"
330,2022-12-01,24.55,25.55,24.2,25.35,"2,092,213"
331,2022-11-30,25.15,25.45,24.4,24.55,"847,291"
332,2022-11-29,25.65,25.8,25.0,25.1,"2,116,583"
333,2022-11-28,25.6,26.2,25.4,25.55,"1,898,959"
334,2022-11-25,25.25,26.35,24.9,25.65,"4,208,604"
335,2022-11-24,25.6,26.4,24.85,25.05,"2,822,154"
336,2022-11-23,26.95,27.0,25.25,25.6,"2,923,753"
337,2022-11-22,26.2,27.2,25.9,26.35,"7,949,494"
338,2022-11-21,23.55,26.45,23.55,25.8,"7,933,068"
339,2022-11-18,23.1,24.3,22.9,23.5,"4,713,787"
340,2022-11-17,22.4,23.2,22.2,22.85,"1,092,434"
341,2022-11-16,22.65,23.2,22.15,22.4,"1,375,607"
342,2022-11-15,23.0,23.0,22.4,22.7,"640,778"
343,2022-11-14,22.9,23.0,22.4,22.55,"718,718"
344,2022-11-11,23.3,23.7,22.75,22.9,"1,582,062"
345,2022-11-10,24.05,24.05,22.9,23.0,"2,394,786"
346,2022-11-09,22.6,24.5,22.6,24.05,"5,619,666"
347,2022-11-07,22.8,23.5,22.45,22.65,"2,771,086"
348,2022-11-04,21.45,23.1,21.45,22.65,"4,784,042"
349,2022-11-03,20.1,21.7,20.1,21.5,"1,894,857"
350,2022-11-02,20.65,20.65,20.2,20.35,"395,103"
351,2022-11-01,20.4,20.65,20.2,20.3,"408,317"
352,2022-10-31,20.65,20.85,20.3,20.35,"382,417"
353,2022-10-28,20.8,21.15,20.4,20.65,"692,980"
354,2022-10-27,20.85,21.15,20.65,20.8,"1,018,284"
355,2022-10-25,20.15,21.2,19.8,20.95,"2,296,859"
356,2022-10-24,20.45,20.45,19.9,20.0,"169,989"
357,2022-10-21,20.15,20.4,19.65,19.8,"706,313"
358,2022-10-20,19.95,20.55,19.7,20.0,"777,258"
359,2022-10-19,19.85,20.2,19.8,19.9,"535,962"
360,2022-10-18,19.45,20.05,19.45,19.75,"436,601"
361,2022-10-17,19.1,19.6,19.0,19.4,"395,790"
362,2022-10-14,19.5,19.75,19.3,19.35,"109,918"
363,2022-10-13,19.65,19.65,19.3,19.35,"149,488"
364,2022-10-12,19.85,19.85,19.5,19.55,"177,626"
365,2022-10-11,20.15,20.15,19.5,19.6,"423,120"
366,2022-10-10,19.95,20.2,19.6,19.95,"334,401"
367,2022-10-07,19.95,20.15,19.8,19.95,"308,919"
368,2022-10-06,20.0,20.35,20.0,20.1,"350,900"
369,2022-10-04,19.7,20.2,19.7,19.9,"379,373"
370,2022-10-03,20.4,20.4,19.55,19.65,"293,772"
371,2022-09-30,20.0,20.25,19.55,20.05,"778,397"
372,2022-09-29,19.5,20.4,19.15,19.9,"369,173"
373,2022-09-28,18.65,19.7,18.65,19.35,"475,512"
374,2022-09-27,19.35,19.8,19.25,19.6,"621,561"
375,2022-09-26,20.3,20.5,19.0,19.45,"1,106,505"
376,2022-09-23,21.45,21.45,20.5,20.6,"1,027,442"
377,2022-09-22,21.75,21.75,21.15,21.3,"1,593,643"
378,2022-09-21,23.5,23.5,21.55,21.7,"7,022,468"
379,2022-09-20,20.35,20.65,20.25,20.35,"717,899"
380,2022-09-19,20.05,20.65,20.05,20.25,"537,773"
381,2022-09-16,21.1,21.2,19.9,20.35,"937,414"
382,2022-09-15,21.3,21.95,21.0,21.1,"1,377,150"
383,2022-09-14,20.35,21.4,20.1,21.1,"1,886,215"
384,2022-09-13,20.9,20.9,20.45,20.6,"414,095"
385,2022-09-12,20.6,20.85,20.5,20.6,"662,176"
386,2022-09-09,20.7,21.0,20.35,20.45,"465,166"
387,2022-09-08,20.45,21.1,20.45,20.7,"749,724"
388,2022-09-07,20.65,20.8,20.3,20.4,"757,246"
389,2022-09-06,19.35,20.9,19.35,20.65,"2,330,720"
390,2022-09-05,19.1,19.7,19.0,19.3,"399,663"
391,2022-09-02,19.35,19.5,19.0,19.1,"189,006"
392,2022-09-01,20.0,20.0,19.3,19.35,"350,440"
393,2022-08-30,19.55,19.85,19.35,19.5,"310,694"
394,2022-08-29,18.6,19.65,18.6,19.4,"522,395"
395,2022-08-26,20.15,20.3,19.4,19.6,"1,082,297"
396,2022-08-25,18.25,20.55,18.25,20.05,"3,719,418"
397,2022-08-24,18.1,18.3,18.1,18.25,"217,289"
398,2022-08-23,18.2,18.3,18.0,18.1,"325,461"
399,2022-08-22,19.0,19.0,18.1,18.35,"1,293,352"
400,2022-08-19,18.45,18.6,17.85,17.9,"321,543"
401,2022-08-18,18.1,18.6,18.05,18.45,"556,934"
402,2022-08-17,17.9,18.2,17.75,18.1,"491,078"
403,2022-08-16,17.95,18.0,17.8,17.9,"125,640"
404,2022-08-12,18.0,18.0,17.75,17.75,"130,955"
405,2022-08-11,17.8,18.1,17.8,17.85,"168,325"
406,2022-08-10,18.3,18.3,17.65,17.75,"213,495"
407,2022-08-08,18.25,18.45,18.05,18.15,"181,933"
408,2022-08-05,18.5,18.55,18.25,18.3,"193,895"
409,2022-08-04,18.35,18.8,18.25,18.35,"209,812"
410,2022-08-03,18.8,18.8,18.25,18.5,"292,060"
411,2022-08-02,18.0,18.9,17.95,18.6,"429,973"
412,2022-08-01,17.9,18.2,17.85,18.15,"237,962"
413,2022-07-29,18.0,18.0,17.75,17.85,"222,056"
414,2022-07-28,18.0,18.1,17.65,17.75,"244,100"
415,2022-07-27,17.55,17.9,17.55,17.8,"152,506"
416,2022-07-26,18.4,18.4,17.7,17.85,"82,373"
417,2022-07-25,18.55,18.75,17.65,18.15,"553,173"
418,2022-07-22,18.7,18.8,18.4,18.5,"214,986"
419,2022-07-21,18.2,18.75,18.0,18.6,"439,481"
420,2022-07-20,18.35,18.35,18.05,18.1,"72,029"
421,2022-07-19,18.3,18.3,18.0,18.15,"209,193"
422,2022-07-18,18.45,18.45,17.8,18.1,"197,538"
423,2022-07-15,17.9,18.2,17.9,18.0,"114,717"
424,2022-07-14,18.3,18.3,17.95,18.05,"111,109"
425,2022-07-13,18.35,18.55,18.25,18.3,"123,657"
426,2022-07-12,18.6,18.6,18.15,18.35,"136,752"
427,2022-07-11,18.2,19.05,17.8,18.25,"554,906"
428,2022-07-08,17.95,18.15,17.8,17.95,"78,647"
429,2022-07-07,18.1,18.15,17.65,17.95,"252,257"
430,2022-07-06,18.1,18.3,17.6,17.8,"240,283"
431,2022-07-05,18.6,18.9,17.9,18.1,"935,389"
432,2022-07-04,16.95,18.35,16.75,18.0,"416,236"
433,2022-07-01,16.75,17.2,16.4,16.95,"124,592"
434,2022-06-30,16.55,17.15,16.55,16.9,"97,309"
435,2022-06-29,17.05,17.2,16.95,17.0,"153,918"
